event_id,event_date,event_country,affected_country,program_name,event_type,direction,car_0_5,is_domestic
11,2010-05-10,EA,JP,SMP,initiation,1,-0.018544895382337202,FALSE
11,2010-05-10,EA,NO,SMP,initiation,1,-0.00933508424973755,FALSE
11,2010-05-10,EA,SE,SMP,initiation,1,0.0390192244179338,FALSE
11,2010-05-10,EA,US,SMP,initiation,1,0,FALSE
12,2012-07-26,EA,CH,OMT_signal,shock_speech,1,0.021839016197149095,FALSE
12,2012-07-26,EA,DK,OMT_signal,shock_speech,1,0.010587512140408685,FALSE
12,2012-07-26,EA,EA,OMT_signal,shock_speech,1,0.010587512140408685,TRUE
12,2012-07-26,EA,GB,OMT_signal,shock_speech,1,0.01700409512224015,FALSE
12,2012-07-26,EA,JP,OMT_signal,shock_speech,1,0.03175502602719724,FALSE
12,2012-07-26,EA,NO,OMT_signal,shock_speech,1,-0.0029806932849769366,FALSE
12,2012-07-26,EA,SE,OMT_signal,shock_speech,1,0.009007350512364879,FALSE
12,2012-07-26,EA,US,OMT_signal,shock_speech,1,1.1763593571467723e-17,FALSE
13,2012-09-06,EA,CH,OMT,initiation,1,-0.008922261500411099,FALSE
13,2012-09-06,EA,DK,OMT,initiation,1,0.0039915191314805545,FALSE
13,2012-09-06,EA,EA,OMT,initiation,1,0.0039915191314805545,TRUE
13,2012-09-06,EA,GB,OMT,initiation,1,-3.498634473136186e-4,FALSE
13,2012-09-06,EA,JP,OMT,initiation,1,0.02943205612749627,FALSE
13,2012-09-06,EA,NO,OMT,initiation,1,-0.010971801601765665,FALSE
13,2012-09-06,EA,SE,OMT,initiation,1,0.004388849223639309,FALSE
13,2012-09-06,EA,US,OMT,initiation,1,-6.331740687315346e-17,FALSE
14,2015-01-22,EA,CH,APP,initiation,1,0.05429626401918938,FALSE
14,2015-01-22,EA,DK,APP,initiation,1,0.0471714320870403,FALSE
14,2015-01-22,EA,EA,APP,initiation,1,0.0471714320870403,TRUE
14,2015-01-22,EA,GB,APP,initiation,1,0.017015303686473957,FALSE
14,2015-01-22,EA,JP,APP,initiation,1,0.016346110035161773,FALSE
