"date","country","cape","pe_trailing","pe_forward"
2026-01-01,"CH",NA,23.2028862478778,21.1171548117155
2026-02-01,"CH",NA,23.2028862478778,21.1171548117155
2026-03-01,"CH",NA,23.2028862478778,21.1171548117155
2026-04-01,"CH",NA,23.2028862478778,21.1171548117155
2026-05-01,"CH",NA,23.2028862478778,21.1171548117155
2026-06-01,"CH",NA,23.2028862478778,21.1171548117155
2026-07-01,"CH",NA,23.2028862478778,21.1171548117155
2026-08-01,"CH",NA,23.2028862478778,21.1171548117155
2026-09-01,"CH",NA,23.2028862478778,21.1171548117155
2026-10-01,"CH",NA,23.2028862478778,21.1171548117155
2026-11-01,"CH",NA,23.2028862478778,21.1171548117155
2026-12-01,"CH",NA,23.2028862478778,21.1171548117155
2026-01-01,"DK",NA,19.4703035635724,16.0663507109005
2026-02-01,"DK",NA,19.4703035635724,16.0663507109005
2026-03-01,"DK",NA,19.4703035635724,16.0663507109005
2026-04-01,"DK",NA,19.4703035635724,16.0663507109005
2026-05-01,"DK",NA,19.4703035635724,16.0663507109005
2026-06-01,"DK",NA,19.4703035635724,16.0663507109005
2026-07-01,"DK",NA,19.4703035635724,16.0663507109005
2026-08-01,"DK",NA,19.4703035635724,16.0663507109005
2026-09-01,"DK",NA,19.4703035635724,16.0663507109005
2026-10-01,"DK",NA,19.4703035635724,16.0663507109005
2026-11-01,"DK",NA,19.4703035635724,16.0663507109005
2026-12-01,"DK",NA,19.4703035635724,16.0663507109005
2026-01-01,"EA",NA,19.8778359511344,17.9587628865979
2026-02-01,"EA",NA,19.8778359511344,17.9587628865979
2026-03-01,"EA",NA,19.8778359511344,17.9587628865979
2026-04-01,"EA",NA,19.8778359511344,17.9587628865979
2026-05-01,"EA",NA,19.8778359511344,17.9587628865979
2026-06-01,"EA",NA,19.8778359511344,17.9587628865979
2026-07-01,"EA",NA,19.8778359511344,17.9587628865979
2026-08-01,"EA",NA,19.8778359511344,17.9587628865979
2026-09-01,"EA",NA,19.8778359511344,17.9587628865979
2026-10-01,"EA",NA,19.8778359511344,17.9587628865979
2026-11-01,"EA",NA,19.8778359511344,17.9587628865979
2026-12-01,"EA",NA,19.8778359511344,17.9587628865979
2026-01-01,"GB",NA,18.0714285714286,14.2586872586873
2026-02-01,"GB",NA,18.0714285714286,14.2586872586873
2026-03-01,"GB",NA,18.0714285714286,14.2586872586873
2026-04-01,"GB",NA,18.0714285714286,14.2586872586873
2026-05-01,"GB",NA,18.0714285714286,14.2586872586873
2026-06-01,"GB",NA,18.0714285714286,14.2586872586873
2026-07-01,"GB",NA,18.0714285714286,14.2586872586873
2026-08-01,"GB",NA,18.0714285714286,14.2586872586873
2026-09-01,"GB",NA,18.0714285714286,14.2586872586873
2026-10-01,"GB",NA,18.0714285714286,14.2586872586873
2026-11-01,"GB",NA,18.0714285714286,14.2586872586873
2026-12-01,"GB",NA,18.0714285714286,14.2586872586873
2026-01-01,"JP",NA,13.8870056497175,15.1587301587302
2026-02-01,"JP",NA,13.8870056497175,15.1587301587302
2026-03-01,"JP",NA,13.8870056497175,15.1587301587302
2026-04-01,"JP",NA,13.8870056497175,15.1587301587302
2026-05-01,"JP",NA,13.8870056497175,15.1587301587302
2026-06-01,"JP",NA,13.8870056497175,15.1587301587302
2026-07-01,"JP",NA,13.8870056497175,15.1587301587302
2026-08-01,"JP",NA,13.8870056497175,15.1587301587302
2026-09-01,"JP",NA,13.8870056497175,15.1587301587302
2026-10-01,"JP",NA,13.8870056497175,15.1587301587302
2026-11-01,"JP",NA,13.8870056497175,15.1587301587302
2026-12-01,"JP",NA,13.8870056497175,15.1587301587302
2026-01-01,"NO",NA,16.420365535248,14.9722530521643
2026-02-01,"NO",NA,16.420365535248,14.9722530521643
2026-03-01,"NO",NA,16.420365535248,14.9722530521643
2026-04-01,"NO",NA,16.420365535248,14.9722530521643
2026-05-01,"NO",NA,16.420365535248,14.9722530521643
2026-06-01,"NO",NA,16.420365535248,14.9722530521643
2026-07-01,"NO",NA,16.420365535248,14.9722530521643
2026-08-01,"NO",NA,16.420365535248,14.9722530521643
2026-09-01,"NO",NA,16.420365535248,14.9722530521643
2026-10-01,"NO",NA,16.420365535248,14.9722530521643
2026-11-01,"NO",NA,16.420365535248,14.9722530521643
2026-12-01,"NO",NA,16.420365535248,14.9722530521643
2026-01-01,"SE",NA,22.9924242424242,16.6118421052632
2026-02-01,"SE",NA,22.9924242424242,16.6118421052632
2026-03-01,"SE",NA,22.9924242424242,16.6118421052632
2026-04-01,"SE",NA,22.9924242424242,16.6118421052632
2026-05-01,"SE",NA,22.9924242424242,16.6118421052632
2026-06-01,"SE",NA,22.9924242424242,16.6118421052632
2026-07-01,"SE",NA,22.9924242424242,16.6118421052632
2026-08-01,"SE",NA,22.9924242424242,16.6118421052632
2026-09-01,"SE",NA,22.9924242424242,16.6118421052632
2026-10-01,"SE",NA,22.9924242424242,16.6118421052632
2026-11-01,"SE",NA,22.9924242424242,16.6118421052632
2026-12-01,"SE",NA,22.9924242424242,16.6118421052632
2026-01-01,"US",NA,22.6066225165563,19.1804511278195
2026-02-01,"US",NA,22.6066225165563,19.1804511278195
2026-03-01,"US",NA,22.6066225165563,19.1804511278195
2026-04-01,"US",NA,22.6066225165563,19.1804511278195
2026-05-01,"US",NA,22.6066225165563,19.1804511278195
2026-06-01,"US",NA,22.6066225165563,19.1804511278195
2026-07-01,"US",NA,22.6066225165563,19.1804511278195
2026-08-01,"US",NA,22.6066225165563,19.1804511278195
2026-09-01,"US",NA,22.6066225165563,19.1804511278195
